board_size,depth,games,win_rate,avg_turns,avg_move_time_s,max_move_time_s
7,2,10,1.0,13.4,0.021384659646049377,0.0464017391204834
7,3,10,1.0,13.2,0.4221902898379735,2.9777262210845947
7,4,10,1.0,13.0,1.5846059458596367,5.5704638957977295
9,2,10,1.0,17.0,0.07884950107998319,0.30083131790161133
9,3,10,1.0,17.2,7.360877139303421,376.3248498439789
9,4,10,1.0,17.2,143.99330040401884,5098.296853065491
11,2,10,1.0,21.2,0.4288047069853002,16.298429012298584
11,3,10,1.0,21.6,284.8668071176066,4057.5230226516724
11,4,10,1.0,21.2,579.7894179616914,7878.886375904083
13,2,10,1.0,26.0,0.5846,2.7648
